ts_ms,heap_mb,total_mb,num_gc,pause_ms
1766168597510,926.91,975.91,8,0.00
1766168597563,942.07,1002.79,9,1.51
1766168597610,939.26,1049.60,10,2.05
1766168597664,937.55,1097.56,11,2.05
1766168597705,943.21,1138.99,11,2.05
1766168597756,942.71,1186.65,12,2.59
1766168597813,940.36,1232.95,13,2.59
1766168597858,939.46,1279.35,14,2.59
1766168597921,943.06,1330.80,15,3.11
1766168597974,942.90,1379.03,16,3.11
1766168598003,928.30,1411.30,17,3.67
1766168598054,940.08,1457.08,18,3.67
1766168598112,929.97,1507.78,19,4.74
1766168598153,939.80,1530.26,20,6.25
1766168598216,940.74,1579.33,21,6.25
1766168598271,941.76,1629.73,22,6.25
1766168598303,945.92,1665.99,22,6.25
1766168598359,943.13,1709.32,23,6.25
1766168598413,944.21,1759.08,24,6.25
1766168598472,937.01,1808.56,26,6.80
1766168598521,943.10,1850.41,26,6.80
1766168598589,940.69,1895.71,27,6.80
1766168598641,944.61,1944.96,28,6.80
1766168598669,939.12,1953.66,29,7.31
1766168598723,941.96,2003.53,30,7.31
1766168598764,937.23,2046.41,31,7.82
1766168598808,942.95,2085.44,31,7.82
1766168598858,942.68,2131.78,32,7.82
1766168598918,943.21,2177.53,33,7.82
1766168598969,942.19,2224.90,34,7.82
1766168599028,937.56,2267.01,35,7.82
1766168599054,928.85,2304.47,36,7.82
1766168599110,941.52,2335.96,37,8.33
1766168599162,934.07,2396.40,38,8.84
1766168599212,942.24,2426.43,39,10.37
1766168599269,945.25,2476.86,40,10.37
1766168599303,943.01,2503.81,40,10.37
1766168599359,943.33,2552.67,41,10.37
1766168599410,943.12,2598.06,42,10.37
1766168599467,938.35,2638.74,43,10.37
1766168599519,935.02,2683.04,44,10.91
1766168599574,942.29,2735.45,45,10.91
1766168599627,939.99,2782.63,46,11.41
1766168599653,939.99,2804.44,47,11.41
1766168599709,943.10,2850.14,48,11.41
1766168599763,940.60,2892.88,49,11.41
1766168599821,945.23,2947.62,50,11.41
1766168599872,943.01,2986.35,51,11.41
1766168599908,942.88,3014.17,51,11.41
1766168599958,941.74,3058.65,52,14.81
1766168600017,943.12,3104.79,53,14.81
1766168600069,942.96,3149.92,54,16.64
1766168600125,942.62,3194.95,55,16.64
1766168600179,943.53,3241.34,56,16.64
1766168600209,928.18,3271.18,57,17.16
1766168600255,945.47,3310.02,58,17.16
1766168600310,940.27,3351.80,59,17.16
1766168600358,941.74,3393.44,60,17.16
1766168600414,944.11,3439.18,61,17.68
