ts_ms,heap_mb,total_mb,num_gc,pause_ms
1766167523386,939.15,974.51,9,0.50
1766167523427,943.53,1009.56,9,0.50
1766167523484,941.83,1057.75,10,0.50
1766167523549,943.35,1107.60,11,0.50
1766167523579,930.44,1142.72,12,0.50
1766167523635,933.49,1189.03,13,0.50
1766167523674,943.44,1204.42,13,0.50
1766167523734,943.85,1253.01,14,0.50
1766167523793,943.63,1301.51,15,0.50
1766167523858,943.24,1349.08,16,0.50
1766167523922,930.71,1384.54,17,0.50
1766167523925,944.78,1398.61,17,0.50
1766167523983,944.26,1446.55,18,0.50
1766167524043,943.60,1494.44,19,0.50
1766167524104,938.29,1537.99,20,1.01
1766167524153,929.18,1580.39,21,1.51
1766167524173,936.19,1598.87,22,1.51
1766167524228,943.29,1641.50,22,1.51
1766167524287,943.68,1690.83,23,3.02
1766167524349,939.74,1734.21,24,3.02
1766167524374,930.35,1773.09,25,3.02
1766167524435,940.33,1799.28,26,3.02
1766167524474,943.65,1834.35,26,3.02
1766167524532,943.92,1881.72,27,4.18
1766167524593,943.75,1929.28,28,4.18
1766167524662,942.88,1976.53,29,4.18
1766167524680,940.24,1987.21,30,4.18
1766167524724,943.08,2024.70,30,4.18
1766167524782,939.24,2068.32,31,4.18
1766167524848,939.33,2114.09,32,5.69
1766167524909,942.91,2166.24,33,5.69
1766167524936,931.24,2199.00,34,5.69
1766167524973,943.65,2211.40,34,5.69
1766167525028,940.78,2257.14,35,7.21
1766167525092,941.70,2305.00,36,7.21
1766167525157,943.94,2354.50,37,7.21
1766167525179,944.69,2371.98,38,7.21
1766167525224,942.52,2399.79,38,7.21
1766167525292,943.55,2449.14,39,7.21
1766167525351,944.09,2495.25,40,7.21
1766167525373,937.48,2521.80,41,7.21
1766167525436,943.55,2560.96,42,7.21
1766167525475,944.02,2589.22,42,7.21
1766167525538,943.12,2636.66,43,7.21
1766167525592,939.77,2678.74,44,7.72
1766167525624,934.77,2713.81,45,7.72
1766167525688,942.81,2751.63,46,7.72
1766167525729,940.40,2771.72,46,7.72
1766167525789,943.43,2820.37,47,7.72
1766167525850,943.66,2866.26,48,7.72
1766167525875,931.00,2899.77,49,9.23
1766167525922,941.32,2919.70,50,9.23
1766167525978,942.45,2959.22,50,9.23
1766167526038,943.45,3005.32,51,9.23
1766167526102,943.10,3051.19,52,9.23
1766167526123,943.27,3073.66,53,9.23
1766167526175,941.20,3109.78,54,9.23
1766167526225,941.86,3141.47,54,9.23
1766167526283,942.16,3187.77,55,9.23
1766167526348,942.38,3232.91,56,9.23
1766167526409,941.70,3280.30,57,9.23
1766167526476,942.76,3314.24,58,9.23
1766167526478,942.84,3314.32,58,9.23
1766167526550,1001.23,3411.02,59,9.75
1766167526582,977.78,3427.19,60,10.26
1766167526629,1054.59,3504.00,60,10.26
1766167526699,999.69,3529.69,61,10.26
1766167526729,1089.72,3619.72,61,10.26
1766167526809,1033.31,3654.75,62,10.26
1766167526823,1098.21,3719.66,62,10.26
1766167526912,1058.00,3770.98,63,10.26
1766167526965,1007.51,3820.61,64,10.26
1766167526978,1036.32,3849.42,64,10.26
1766167527060,1013.34,3919.72,65,10.26
1766167527107,1087.80,3994.18,65,10.26
1766167527160,1013.76,4019.23,66,10.78
1766167527192,1054.87,4060.34,66,10.78
1766167527267,1018.96,4119.09,67,10.78
1766167527319,1117.78,4217.90,67,10.78
1766167527371,1019.30,4219.18,68,10.78
1766167527416,1115.75,4315.63,68,10.78
1766167527463,1024.42,4319.52,69,10.78
1766167527512,1124.98,4420.07,69,10.78
1766167527546,1034.42,4420.30,70,10.78
1766167527608,1111.57,4497.45,70,10.78
1766167527655,1042.82,4521.95,71,10.78
1766167527691,1115.81,4594.94,71,10.78
1766167527754,1043.69,4624.39,72,10.78
1766167527790,1117.19,4697.88,72,10.78
1766167527851,1052.57,4727.26,73,10.78
1766167527891,1108.76,4783.45,73,10.78
1766167527951,1053.13,4830.65,74,10.78
1766167527988,1126.00,4903.52,74,10.78
1766167528051,1053.29,4934.11,75,10.78
1766167528092,1141.57,5022.38,75,10.78
1766167528151,1059.69,5037.65,76,10.78
1766167528190,1117.96,5095.92,76,10.78
1766167528250,1060.26,5141.75,77,10.78
1766167528297,1132.70,5214.19,77,10.78
1766167528350,1060.34,5245.89,78,10.78
1766167528390,1146.08,5331.63,78,10.78
1766167528452,1060.38,5350.03,79,10.78
1766167528499,1161.91,5451.56,79,10.78
1766167528554,1060.36,5454.13,80,10.78
1766167528578,1109.06,5502.83,80,10.78
1766167528652,1060.56,5558.28,81,11.29
1766167528698,1143.79,5641.51,81,11.29
1766167528748,1060.52,5662.36,82,11.80
1766167528776,1122.62,5724.47,82,11.80
1766167528828,1060.60,5766.51,83,11.80
1766167528880,1163.63,5869.54,83,11.80
1766167528973,1164.61,5974.63,84,11.80
1766167529035,1112.51,6017.19,85,11.80
1766167529115,1080.23,6079.94,86,11.80
1766167529130,1111.30,6111.00,86,11.80
1766167529212,1081.20,6186.04,87,11.80
1766167529233,1130.64,6235.47,87,11.80
1766167529309,1082.18,6292.23,88,11.80
1766167529328,1127.43,6337.48,88,11.80
1766167529402,1082.22,6398.45,89,11.80
1766167529434,1153.52,6469.75,89,11.80
1766167529502,1090.89,6504.78,90,11.80
1766167529533,1163.63,6577.52,90,11.80
1766167529599,1100.04,6611.96,91,11.80
1766167529639,1166.36,6678.28,91,11.80
1766167529705,1100.84,6719.93,92,11.80
1766167529744,1162.57,6781.67,92,11.80
1766167529801,1101.01,6828.00,93,11.80
1766167529848,1168.55,6895.53,93,11.80
1766167529890,1101.03,6936.06,94,13.31
1766167529932,1166.07,7001.10,94,13.31
1766167530007,1101.11,7044.13,95,13.31
1766167530050,1173.77,7116.80,95,13.31
1766167530111,1105.94,7152.28,96,13.31
1766167530158,1163.45,7209.79,96,13.31
1766167530214,1106.36,7260.83,97,13.31
1766167530234,1146.45,7300.92,97,13.31
